Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Cryptosporidium ryanae 45019,CryptoDB,INSDC,GCA_009792415.2,"Jan 05, 2022",yes,0,93,0,3711,0,0,N/A,3711,1886,N/A,N/A,no,10,    9.06,GenBank,Cryptosporidium ryanae,45019,N/A,N/A,3711,N/A,11251,N/A
Culicoides sonorensis PIR-s-3,VectorBase,INSDC,GCA_900258525.1,Cson1.2,yes,0,7974,0,15612,0,0,N/A,15612,11757,1833,N/A,no,10,  194.18,GenBank,Culicoides sonorensis,PIR-s-3,N/A,1001,15612,N/A,N/A,N/A
Cryptosporidium sp. chipmunk genotype I strain 37763,CryptoDB,INSDC,GCA_004936735.2,"Dec 28, 2021",yes,0,50,0,3783,0,0,N/A,3783,1941,N/A,N/A,no,10,    9.05,GenBank,Cryptosporidium sp. chipmunk genotype I,strain 37763,N/A,N/A,3783,N/A,11830,N/A
Cystoisospora suis strain Wien I,ToxoDB,GenBank,GCA_002600585.1,"Oct 20, 2017",yes,14627,0,0,11543,0,0,3,11543,5654,458,N/A,yes,10,   83.64,GenBank,Cystoisospora suis,strain Wien I,N/A,N/A,11543,N/A,1313,N/A
Candida tropicalis MYA-3404 2020,FungiDB,INSDC,GCA_013177555.1,"May 27, 2020",no,0,0,7,6136,0,0,N/A,6136,4109,8,N/A,no,10,   14.61,GenBank,Candida tropicalis,MYA-3404 2020,N/A,496,6136,N/A,11263,N/A
Cryptosporidium tyzzeri isolate UGA55,CryptoDB,GenBank,GCA_007210665.1,"Nov 16, 2017",yes,3,0,8,3977,61,0,N/A,3977,1938,196,N/A,no,10,    9.02,KissingerLab,Cryptosporidium tyzzeri,isolate UGA55,N/A,N/A,4038,N/A,18767,N/A
Cryptosporidium ubiquitum isolate 39726,CryptoDB,GenBank,GCA_001865345.1,"Nov 17, 2016",yes,39,0,0,3766,0,0,N/A,3766,2441,355,N/A,no,10,    8.97,GenBank,Cryptosporidium ubiquitum,isolate 39726,N/A,N/A,3766,N/A,15043,N/A
Debaryomyces fabryi CBS 789,FungiDB,INSDC,GCA_001447935.2,"Mar 16, 2020",yes,0,536,0,6025,0,0,N/A,6025,4839,793,N/A,no,10,   11.70,GenBank,Debaryomyces fabryi,CBS 789,N/A,N/A,6025,N/A,2551,N/A
Drosophila melanogaster iso-1,VectorBase,INSDC,GCA_000001215.4,BDGP6.32,yes,0,1862,7,13968,4386,342,N/A,13968,12158,952,N/A,yes,10,  143.73,GenBank,Drosophila melanogaster,iso-1,N/A,14544,18354,N/A,N/A,N/A
Dictyocoela muelleri Ou54,MicrosporidiaDB,INSDC,GCA_016256075.1,"Dec 22, 2020",yes,0,11522,0,6442,0,0,N/A,6442,1846,N/A,N/A,no,10,   41.92,GenBank,Dictyocoela muelleri,Ou54,N/A,N/A,6442,N/A,21,N/A
Dictyocoela roeselum Ou19,MicrosporidiaDB,INSDC,GCA_016255985.1,"Dec 22, 2020",yes,0,1033,0,1201,0,0,N/A,1201,732,N/A,N/A,no,10,    2.21,GenBank,Dictyocoela roeselum,Ou19,N/A,N/A,1201,N/A,26,N/A
Diutina rugosa CBS 613,FungiDB,INSDC,GCA_008704595.1,"Sep 26, 2019",yes,0,169,0,5815,4,4,N/A,5815,4189,658,N/A,no,10,   13.45,GenBank,Diutina rugosa,CBS 613,N/A,N/A,5819,N/A,74,N/A
Dermacentor silvarum Dsil-2018,VectorBase,INSDC,GCA_013339745.1,GCF_013339745.1,yes,1653,0,11,21428,14382,1893,N/A,21428,13006,2,N/A,yes,10, 2474.31,RefSeq,Dermacentor silvarum,Dsil-2018,N/A,N/A,35810,N/A,N/A,N/A
Eimeria acervulina Houghton,ToxoDB,GenBank,GCA_000499425.1,"Nov 5, 2013",yes,0,3415,0,6867,0,0,5,6867,3521,323,N/A,no,10,   45.83,GenBank,Eimeria acervulina,Houghton,N/A,1950,6867,N/A,622,N/A
Emergomyces africanus CBS 136260,FungiDB,INSDC,GCA_001660665.1,"Jun 09, 2016",yes,0,4444,0,8769,91,2,N/A,8769,5773,858,N/A,no,10,   29.71,GenBank,Emergomyces africanus,CBS 136260,N/A,N/A,8860,N/A,55,N/A
Eimeria brunetti Houghton,ToxoDB,GenBank,GCA_000499725.1,"Nov 5, 2013",yes,0,8575,0,8711,0,0,N/A,8711,3698,266,N/A,no,10,   66.89,GenBank,Eimeria brunetti,Houghton,N/A,44,8711,N/A,572,N/A
Enterospora canceri strain GB1,MicrosporidiaDB,GenBank,GCA_002087915.1,"Apr 12, 2017",yes,537,0,0,2169,9,9,N/A,2169,1119,168,N/A,no,10,    3.10,GenBank,Enterospora canceri,strain GB1,N/A,N/A,2178,N/A,324,N/A
Eimeria falciformis Bayer Haberkorn 1970,ToxoDB,GenBank,GCA_002271815.1,"Feb 10, 2014",yes,751,0,0,5811,226,0,N/A,5811,2880,8,N/A,yes,10,   43.67,DieterichLab,Eimeria falciformis,Bayer Haberkorn 1970,N/A,1,6037,N/A,3078,N/A
Encephalitozoon hellem Swiss,MicrosporidiaDB,GenBank,GCA_018342045.1,"May 11, 2021",no,0,32,0,1971,51,0,1,1971,1105,3,N/A,no,10,    2.26,GenBank,Encephalitozoon hellem,Swiss,N/A,N/A,2022,N/A,284,N/A
Enterocytozoon hepatopenaei strain TH1,MicrosporidiaDB,GenBank,GCA_002081675.1,"Apr 06, 2017",yes,62,0,0,2536,0,0,N/A,2536,1375,182,N/A,no,10,    3.25,GenBank,Enterocytozoon hepatopenaei,strain TH1,N/A,N/A,2536,N/A,1490,N/A
Eimeria maxima Weybridge,ToxoDB,GenBank,GCA_000499605.1,"Nov 5, 2013",yes,0,3564,0,6057,0,0,5,6057,2934,249,N/A,no,10,   45.98,GenBank,Eimeria maxima,Weybridge,N/A,1844,6057,N/A,1370,N/A
Exophiala mesophila strain CBS 40295,FungiDB,GenBank,GCA_000836275.1,"Jun 16, 2016",yes,0,9,0,9181,56,0,N/A,9181,6643,1194,N/A,no,10,   29.27,GenBank,Exophiala mesophila,strain CBS 40295,N/A,N/A,9237,N/A,494,N/A
Eimeria mitis Houghton,ToxoDB,GenBank,GCA_000499745.2,"Nov 5, 2013",yes,0,15978,0,10077,0,0,N/A,10077,3783,201,N/A,no,10,   72.24,GenBank,Eimeria mitis,Houghton,N/A,N/A,10077,N/A,553,N/A
Endotrypanum monterogeii strain LV88,TriTrypDB,GenBank,GCA_000333855.2,"Jan 16, 2015",yes,0,1925,36,8285,129,0,3,8285,4141,53,N/A,no,10,   32.52,GeneDB,Endotrypanum monterogeii,strain LV88,N/A,N/A,8414,N/A,34778,N/A
Entamoeba moshkovskii Laredo,AmoebaDB,GenBank,GCA_002914575.1,"Jan 19, 2014",yes,3460,1147,0,12260,189,0,68,12260,4777,385,N/A,no,10,   25.25,liverpool,Entamoeba moshkovskii,Laredo,N/A,N/A,12449,N/A,1145,N/A
Eimeria necatrix Houghton,ToxoDB,GenBank,GCA_000499385.1,"Nov 5, 2013",yes,0,3707,0,8603,0,0,6,8603,4320,381,N/A,no,10,   55.01,GenBank,Eimeria necatrix,Houghton,N/A,N/A,8603,N/A,648,N/A
Exophiala oligosperma strain CBS 72588,FungiDB,GenBank,GCA_000835515.1,"Jun 16, 2016",yes,0,143,0,11893,45,0,N/A,11893,8206,1372,N/A,no,10,   38.22,GenBank,Exophiala oligosperma,strain CBS 72588,N/A,N/A,11938,N/A,578,N/A
Emergomyces orientalis 5z489,FungiDB,INSDC,GCA_002110485.1,N/A,yes,0,108,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   35.50,N/A,Emergomyces orientalis,5z489,N/A,N/A,N/A,N/A,N/A,N/A
Eimeria praecox Houghton,ToxoDB,GenBank,GCA_000499445.1,"Nov 5, 2013",yes,0,21348,0,7635,0,0,N/A,7635,2691,164,N/A,no,10,   60.08,GenBank,Eimeria praecox,Houghton,N/A,N/A,7635,N/A,559,N/A
Exophiala spinifera CBS 89968,FungiDB,INSDC,GCA_000836115.1,"Jun 16, 2016",yes,0,28,0,12049,61,3,N/A,12049,8545,1035,N/A,no,10,   32.91,GenBank,Exophiala spinifera,CBS 89968,N/A,N/A,12110,N/A,494,N/A
Eimeria tenella Houghton 2021,ToxoDB,INSDC,GCA_905310635.1,"Mar 05, 2021",yes,0,0,15,7268,557,44,N/A,7268,3603,69,N/A,yes,10,   53.25,ReidLab,Eimeria tenella,Houghton 2021,N/A,3533,7825,N/A,4013,252
Fusarium circinatum NRRL 25331,FungiDB,INSDC,GCA_013396185.1,2020-07-10,yes,0,1223,0,13905,0,0,N/A,13905,7721,N/A,N/A,no,10,   42.62,GenBank,Fusarium circinatum,NRRL 25331,N/A,8,13905,N/A,113504,N/A
Fusarium graminearum DAOM 233423,FungiDB,INSDC,GCA_000966635.1,N/A,no,0,869,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   36.49,N/A,Fusarium graminearum,DAOM 233423,N/A,N/A,N/A,N/A,N/A,N/A
Fusarium odoratissimum strain race 4,FungiDB,GenBank,GCA_000350365.1,"Mar 21, 2015",yes,0,840,0,14459,137,137,N/A,14459,8462,1479,N/A,no,10,   52.93,GenBank,Fusarium odoratissimum,strain race 4,N/A,N/A,14596,N/A,66580,N/A
Fusarium proliferatum strain NRRL62905,FungiDB,GenBank,GCA_900029915.1,"Dec 06, 2016",no,155,0,0,15254,348,0,1,15254,8779,1039,N/A,no,10,   43.17,GenBank,Fusarium proliferatum,strain NRRL62905,N/A,N/A,15602,N/A,115911,N/A
Giardia Assemblage A2 isolate DH,GiardiaDB,GenBank,GCA_000498715.1,"Nov 25, 2013",no,239,0,0,5147,62,1,N/A,5147,3008,343,N/A,no,10,   10.70,GenBank,Giardia Assemblage A,2 isolate DH,N/A,3054,5209,N/A,16252,N/A
Giardia assemblage A isolate AS175,GiardiaDB,GenBank,GCA_001493575.1,n/a,no,1139,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   10.52,n/a,Giardia Assemblage A,AS175,N/A,N/A,N/A,N/A,N/A,N/A
Giardia Assemblage A isolate WB 2019,GiardiaDB,INSDC,GCA_000002435.2,"Nov 06, 2019",no,0,30,5,4968,423,320,N/A,4968,2346,394,N/A,no,10,   12.08,GenBank,Giardia Assemblage A,isolate WB 2019,N/A,3113,5391,N/A,16317,N/A
Giardia assemblage B isolate BAH15c1,GiardiaDB,GenBank,GCA_001543975.1,n/a,no,508,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   10.40,n/a,Giardia Assemblage B,BAH15c1,N/A,N/A,N/A,N/A,N/A,N/A
Giardia Assemblage B isolate GS_B,GiardiaDB,GenBank,GCA_000498735.1,"Nov 25, 2013",no,543,0,0,6098,68,0,1,6098,2321,196,N/A,no,10,   12.01,GenBank,Giardia Assemblage B,isolate GS_B,N/A,58,6166,N/A,12343,N/A
Glossina austeni TTRI,VectorBase,INSDC,GCA_000688735.1,GausT1.8,yes,0,2205,0,19720,378,0,N/A,19720,11568,1705,N/A,no,10,  370.26,VectorBase,Glossina austeni,TTRI,N/A,N/A,20098,N/A,N/A,N/A
Glossina brevipalpis IAEA,VectorBase,INSDC,GCA_000671755.1,GbreI1.8,yes,0,1651,0,14656,335,0,N/A,14656,10535,1334,N/A,no,10,  315.36,VectorBase,Glossina brevipalpis,IAEA,N/A,N/A,14991,N/A,N/A,N/A
Glossina fuscipes IAEA,VectorBase,INSDC,GCA_000671735.1,GfusI1.8,yes,0,2395,0,20117,385,0,N/A,20117,11860,1725,N/A,no,10,  374.77,VectorBase,Glossina fuscipes,IAEA,N/A,N/A,20502,N/A,N/A,N/A
Glossina fuscipes IAEA 2018,VectorBase,INSDC,GCF_014805625.1,"Dec 03, 2020",no,0,7986,0,12387,1762,444,N/A,12387,8026,N/A,N/A,no,10,  390.09,RefSeq,Glossina fuscipes,IAEA 2018,N/A,N/A,14149,N/A,N/A,N/A
Gallus gallus isolate bGalGal1,HostDB,INSDC,GCF_016699485.2,GRCg7b,yes,0,172,41,17876,7527,186,N/A,17810,14141,219,N/A,yes,10, 1053.33,GenBank,Gallus gallus,isolate bGalGal1,N/A,N/A,25403,N/A,N/A,N/A
Glossina morsitans Yale,VectorBase,INSDC,GCA_001077435.1,GmorY1.11,yes,0,13807,0,12773,376,0,N/A,12733,9089,1018,N/A,no,10,  366.20,VectorBase,Glossina morsitans,Yale,N/A,6987,13149,N/A,N/A,N/A
Giardia muris strain Roberts-Thomson,GiardiaDB,GenBank,GCA_006247105.1,"Jun 11, 2019",yes,54,0,5,4661,576,279,N/A,4661,2798,332,N/A,no,10,    9.78,GenBank,Giardia muris,strain Roberts-Thomson,N/A,N/A,5237,N/A,13687,N/A
Gregarina niphandrodes Unknown strain,CryptoDB,GenBank,GCA_000223845.4,"Apr 9, 2014",yes,0,469,0,6375,231,0,N/A,6375,3062,693,N/A,no,10,   14.01,GenBank,Gregarina niphandrodes,Unknown strain,N/A,395,6606,N/A,18,N/A
Glossina pallidipes IAEA,VectorBase,INSDC,GCA_000688715.1,GpalI1.8,yes,0,1726,0,19278,360,0,N/A,19278,10927,1503,N/A,no,10,  357.33,VectorBase,Glossina pallidipes,IAEA,N/A,52,19638,N/A,N/A,N/A
Glossina palpalis IAEA,VectorBase,INSDC,GCA_000818775.1,GpapI1.5,yes,0,3926,0,20162,373,0,N/A,20162,11614,1564,N/A,no,10,  380.10,VectorBase,Glossina palpalis,IAEA,N/A,120,20535,N/A,N/A,N/A
Hepatospora eriocheir strain GB1,MicrosporidiaDB,GenBank,GCA_002087885.1,"Apr 12, 2017",yes,1300,0,0,2691,25,25,N/A,2691,1228,154,N/A,no,10,    4.57,GenBank,Hepatospora eriocheir,strain GB1,N/A,N/A,2716,N/A,1054,N/A
Hepatospora eriocheir strain canceri,MicrosporidiaDB,GenBank,GCA_002087875.1,"Apr 12, 2017",no,2344,0,0,3052,6,6,N/A,3052,1356,168,N/A,no,10,    4.83,GenBank,Hepatospora eriocheir,strain canceri,N/A,N/A,3058,N/A,814,N/A
Hanseniaspora guilliermondii strain UTAD222,FungiDB,INSDC,GCA_900119595.1,"Feb 02, 2017",yes,0,208,0,4070,82,0,N/A,4070,3107,565,N/A,no,10,    9.04,GenBank,Hanseniaspora guilliermondii,strain UTAD222,N/A,N/A,4152,N/A,2491,N/A
Hammondia hammondi strain H.H.34,ToxoDB,RefSeq,GCF_000258005.1,"Jun 30, 2014",yes,0,14860,0,8003,174,0,15,8003,3853,1183,N/A,yes,10,   67.70,GenBank,Hammondia hammondi,strain H.H.34,N/A,N/A,8177,N/A,7700,N/A
Hepatocystis sp. ex Piliocolobus tephrosceles 2019,PlasmoDB,INSDC,GCA_902459845.2,"Dec 12, 2019",yes,0,2439,0,5341,130,31,N/A,5341,3383,928,N/A,yes,10,   19.98,GenBank,Hepatocystis sp. ex Piliocolobus tephrosceles,2019,N/A,N/A,5471,N/A,1247,N/A
Homo sapiens REF,HostDB,Ensembl,GCA_000001405.28,GRCh38.p13,yes,0,169,24,20430,40245,13990,3,19973,19659,1263,N/A,yes,10, 3099.75,Ensembl,Homo sapiens,REF,N/A,N/A,60675,N/A,N/A,13160
Haemoproteus tartakovskyi strain SISKIN1,PlasmoDB,INSDC,GCA_001625125.1,"Mar 01, 2022",yes,0,2982,0,4860,565,510,N/A,4860,1672,1,N/A,yes,10,   23.21,ValkiunasLab,Haemoproteus tartakovskyi,strain SISKIN1,N/A,N/A,5425,N/A,6543,N/A
Hanseniaspora uvarum strain AWRI3580,FungiDB,INSDC,GCA_001747055.1,"Sep 27, 2016",yes,0,18,0,4061,0,0,N/A,4061,3027,653,N/A,no,10,    8.81,GenBank,Hanseniaspora uvarum,strain AWRI3580,N/A,N/A,4061,N/A,159,N/A
Hemileia vastatrix Race XXXIII,FungiDB,INSDC,GCA_004125335.1,"Feb 14, 2022",yes,0,116756,0,12570,284,0,N/A,12570,6481,2,N/A,no,10,  543.61,CaixetaLab,Hemileia vastatrix,Race XXXIII,N/A,N/A,12854,N/A,24,N/A
Ixodes scapularis ISE6,VectorBase,INSDC,GCA_002892825.2,IscaI1.0,no,0,6476,0,19062,4408,0,N/A,19062,12117,1307,N/A,no,10, 2081.33,VectorBase,Ixodes scapularis,ISE6,N/A,8860,23470,N/A,N/A,N/A
Ixodes scapularis PalLabHiFi,VectorBase,INSDC,GCF_016920785.2,"Jul 07, 2021",no,0,648,0,26659,11997,6237,N/A,26659,14694,869,N/A,no,10, 2226.88,GenBank,Ixodes scapularis,PalLabHiFi,N/A,11636,38656,N/A,N/A,N/A
Ixodes scapularis Wikel,VectorBase,INSDC,GCA_000208615.1,IscaW1.7,yes,0,369492,0,20488,2854,0,N/A,20488,12972,1451,N/A,no,10, 1765.38,VectorBase,Ixodes scapularis,Wikel,N/A,9438,23342,N/A,N/A,455
Leishmania amazonensis MHOM/BR/71973/M2269,TriTrypDB,GenBank,GCA_000438535.1,"Dec 6, 2018",yes,0,2627,0,7694,433,337,N/A,7694,4640,27,N/A,no,10,   29.03,HertzFowlerLab,Leishmania amazonensis,MHOM/BR/71973/M2269,N/A,41,8127,N/A,36607,N/A
Leishmania arabica strain LEM1108,TriTrypDB,GenBank,GCA_000410695.2,"Dec 16, 2014",yes,0,132,36,8646,109,0,14,8646,3989,52,N/A,no,10,   31.27,GeneDB,Leishmania arabica,strain LEM1108,N/A,N/A,8755,N/A,29584,N/A
Leishmania braziliensis MHOM/BR/75/M2904 2019,TriTrypDB,Sanger,"Jul 30, 2019","Jul 30, 2019",no,15,0,35,8484,115,973,1,7511,3523,N/A,N/A,no,10,   33.51,Sanger,Leishmania braziliensis,MHOM/BR/75/M2904 2019,N/A,1,8599,N/A,37349,N/A
Leptotrombidium deliense UoL-UT,VectorBase,INSDC,GCA_003675905.1,LdelU1.1,yes,0,66710,0,14667,348,0,N/A,14667,11343,956,N/A,no,10,  117.32,VectorBase,Leptotrombidium deliense,UoL-UT,N/A,N/A,15015,N/A,N/A,N/A
Leishmania donovani strain BHU 1220,TriTrypDB,GenBank,GCA_000470725.1,n/a,no,0,0,36,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   32.41,n/a,Leishmania donovani,strain BHU 1220,N/A,N/A,N/A,N/A,N/A,N/A
Leishmania donovani CL-SL,TriTrypDB,GenBank,GCA_003719575.1,"Nov 09, 2018",no,0,0,36,8632,1125,0,3,8632,5190,1149,N/A,no,10,   32.96,GenBank,Leishmania donovani,CL-SL,N/A,N/A,9757,N/A,40071,N/A
Leishmania donovani HU3,TriTrypDB,INSDC,GCA_900635355.2,N/A,no,0,0,36,8404,190,47,1,8404,5033,734,N/A,no,10,   33.04,N/A,Leishmania donovani,HU3,N/A,N/A,8594,N/A,37723,N/A
Leishmania donovani strain LV9,TriTrypDB,Sanger,"Feb 27, 2019","Feb 27, 2019",no,108,0,36,8245,142,832,4,7413,3475,N/A,N/A,no,10,   34.82,Sanger,Leishmania donovani,strain LV9,N/A,N/A,8387,N/A,36479,N/A
Leishmania enriettii strain LEM3045,TriTrypDB,GenBank,GCA_000410755.2,"Dec 16, 2014",yes,0,459,36,8731,100,0,13,8731,3994,61,N/A,no,10,   30.76,GeneDB,Leishmania enriettii,strain LEM3045,N/A,N/A,8831,N/A,35002,N/A
Leishmania enriettii MCAV/BR/2001/CUR178,TriTrypDB,INSDC,GCA_017916305.1,"Apr 15, 2021",no,0,18,36,8353,0,0,N/A,8353,18,10,N/A,no,10,   33.32,GenBank,Leishmania enriettii,MCAV/BR/2001/CUR178,N/A,N/A,8353,N/A,29917,N/A
Leishmania gerbilli strain LEM452,TriTrypDB,GenBank,GCA_000443025.1,"Dec 16, 2014",yes,0,106,36,8599,101,0,12,8599,4019,46,N/A,no,10,   31.29,GeneDB,Leishmania gerbilli,strain LEM452,N/A,N/A,8700,N/A,31843,N/A
Lutzomyia longipalpis Jacobina,VectorBase,INSDC,GCA_000265325.1,LlonJ1.6,yes,0,11532,0,10427,338,0,21,10426,7499,1150,N/A,no,10,  154.23,VectorBase,Lutzomyia longipalpis,Jacobina,N/A,5238,10765,N/A,N/A,N/A
Leishmania major Friedlin 2021,TriTrypDB,INSDC,GCA_916722125.1,"Oct 03, 2021",no,0,0,36,8508,2734,91,N/A,8508,4057,40,N/A,no,10,   32.80,GenBank,Leishmania major,Friedlin 2021,N/A,928,11242,N/A,43798,N/A
Leishmania martiniquensis LEM2494,TriTrypDB,GenBank,GCA_000409445.2,"Dec 16, 2014",yes,0,215,36,8483,98,0,12,8483,3998,41,N/A,no,10,   30.81,GeneDB,Leishmania martiniquensis,LEM2494,N/A,N/A,8581,N/A,30972,N/A
Leishmania martiniquensis MHOM/TH/2012/LSCM1,TriTrypDB,INSDC,GCA_017916325.1,"Jun 02, 2021",no,0,6,36,7967,0,0,N/A,7967,8,2,N/A,no,10,   32.41,GenBank,Leishmania martiniquensis,MHOM/TH/2012/LSCM1,N/A,N/A,7967,N/A,28492,N/A
Leishmania orientalis MHOM/TH/2014/LSCM4,TriTrypDB,INSDC,GCA_017916335.1,"Apr 15, 2021",yes,0,62,36,8158,0,0,N/A,8158,23,1,N/A,no,10,   34.19,GenBank,Leishmania orientalis,MHOM/TH/2014/LSCM4,N/A,N/A,8158,N/A,28886,N/A
Leishmania panamensis strain MHOM/PA/94/PSC-1,TriTrypDB,GenBank,GCA_000755165.1,"Mar 05, 2015",no,0,0,35,7711,337,185,1,7711,4629,1234,N/A,no,10,   30.69,GenBank,Leishmania panamensis,strain MHOM/PA/94/PSC-1,N/A,N/A,8048,N/A,39469,N/A
Lomentospora prolificans JHH-5317,FungiDB,GenBank,GCA_002276285.1,"Dec 19, 2017",yes,1624,0,0,8560,208,0,N/A,8560,6373,1266,N/A,yes,10,   37.63,GenBank,Lomentospora prolificans,JHH-5317,N/A,N/A,8768,N/A,207,N/A
Leptomonas pyrrhocoris H10,TriTrypDB,GenBank,GCA_001293395.1,"May 05, 2015",yes,0,25,35,9878,270,0,8,9878,5819,5,N/A,no,10,   30.38,LukesLab,Leptomonas pyrrhocoris,H10,N/A,N/A,10148,N/A,38059,N/A
Lichtheimia ramosa KPH11,FungiDB,INSDC,GCA_008728235.1,N/A,yes,0,0,10,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   31.89,N/A,Lichtheimia ramosa,KPH11,N/A,N/A,N/A,N/A,N/A,N/A
Leptomonas seymouri ATCC 30220,TriTrypDB,GenBank,GCA_001299535.1,"May 06, 2015",yes,1222,0,0,8488,107,0,3,8488,4814,1,N/A,no,10,   27.80,YurchenkoLab,Leptomonas seymouri,ATCC 30220,N/A,N/A,8595,N/A,36093,N/A
Leishmania sp. Ghana MHOM/GH/2012/GH5,TriTrypDB,INSDC,GCA_017918215.1,"Apr 15, 2021",yes,0,80,36,8119,0,0,N/A,8119,23,N/A,N/A,no,10,   35.95,GenBank,Leishmania sp. Ghana,MHOM/GH/2012/GH5,N/A,N/A,8119,N/A,27471,N/A
Leishmania sp. Namibia MPRO/NA/1975/252/LV425,TriTrypDB,INSDC,GCA_017918225.1,"Apr 15, 2021",yes,0,31,36,8266,0,0,N/A,8266,20,N/A,N/A,no,10,   34.12,GenBank,Leishmania sp. Namibia,MPRO/NA/1975/252/LV425,N/A,N/A,8266,N/A,29731,N/A
Leishmania tarentolae Parrot-TarII,TriTrypDB,CorbeilLab,"Jun 22, 2011","Jun 22, 2011",yes,1311,4,36,8452,78,0,38,8452,3337,N/A,N/A,no,10,   31.63,CorbeilLab,Leishmania tarentolae,Parrot-TarII,N/A,N/A,8530,N/A,35185,N/A
Leishmania tarentolae Parrot Tar II 2019,TriTrypDB,INSDC,GCA_009731335.1,N/A,no,0,179,0,8703,0,0,N/A,8703,5048,531,N/A,no,10,   35.42,N/A,Leishmania tarentolae,Parrot Tar II 2019,N/A,N/A,8703,N/A,29482,N/A
Leishmania turanica strain LEM423,TriTrypDB,GenBank,GCA_000441995.1,"Dec 16, 2014",yes,0,183,36,8608,109,0,9,8608,3997,42,N/A,no,10,   31.51,GeneDB,Leishmania turanica,strain LEM423,N/A,N/A,8717,N/A,31858,N/A
Mitosporidium daphniae UGP3,MicrosporidiaDB,GenBank,GCA_000760515.1,"Sep 30, 2014",yes,612,0,0,3330,0,0,N/A,3330,2214,441,N/A,no,10,    5.64,GenBank,Mitosporidium daphniae,UGP3,N/A,N/A,3330,N/A,1258,N/A
Musca domestica aabys,VectorBase,INSDC,GCA_000371365.1,MdomA1.4,yes,0,20487,0,14402,1733,126,N/A,14402,10390,1200,N/A,no,10,  750.40,VectorBase,Musca domestica,aabys,N/A,522,16135,N/A,N/A,N/A
Monocercomonoides exilis PA203,GiardiaDB,GenBank,GCA_001643675.2,"Nov 22, 2021",yes,0,101,0,18152,0,0,1,18152,6098,12,N/A,no,10,   82.30,GenBank,Monocercomonoides exilis,PA203,N/A,N/A,18152,N/A,18,N/A
Macaca fascicularis REF,HostDB,INSDC,GCF_000364345.1,"Jun 12, 2013",yes,0,7579,21,21584,7740,302,N/A,21404,18564,1547,N/A,yes,10, 2946.84,GenBank,Macaca fascicularis,REF,N/A,N/A,29324,N/A,N/A,N/A
Macaca mulatta isolate AG07107,HostDB,INSDC,GCA_003339765.3,2019-02-13,yes,0,2916,22,21761,13671,767,N/A,21591,18004,1301,N/A,yes,10, 2971.33,GenBank,Macaca mulatta,isolate AG07107,N/A,N/A,35432,N/A,N/A,N/A
Mus musculus C57BL6J,HostDB,Ensembl,GCA_000001635.8,GRCm38.p6,yes,0,44,21,22519,32968,13220,N/A,21936,21895,1260,N/A,yes,10, 2730.87,Ensembl,Mus musculus,C57BL6J,N/A,N/A,55487,N/A,N/A,N/A
Malassezia restricta KCTC 27527,FungiDB,GenBank,GCA_003290485.1,"Jul 09, 2018",yes,0,0,9,4406,138,0,N/A,4406,3013,448,N/A,yes,10,    7.37,GenBank,Malassezia restricta,KCTC 27527,N/A,N/A,4544,N/A,6256,N/A
Naganishia albida JCM2334,FungiDB,GenBank,GCA_001599735.1,n/a,no,74,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   20.70,n/a,Naganishia albida,JCM2334,N/A,N/A,N/A,N/A,N/A,N/A
Naganishia albida NRRL Y-1402,FungiDB,GenBank,GCA_001444555.1,"Jul 26, 2016",yes,834,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   24.81,GenBank,Naganishia albida,NRRL Y-1402,N/A,N/A,N/A,N/A,N/A,N/A
Nematocida ausubeli ERTm2,MicrosporidiaDB,GenBank,GCA_000250695.1,"Mar 18, 2015",yes,0,202,0,2770,61,0,N/A,2770,1030,108,N/A,no,10,    4.70,GenBank,Nematocida ausubeli,ERTm2,N/A,N/A,2831,N/A,53,258
Nematocida ausubeli ERTm6,MicrosporidiaDB,GenBank,GCA_000738915.1,"Aug 11, 2014",no,0,22,0,2433,60,0,N/A,2433,1034,107,N/A,no,10,    4.27,GenBank,Nematocida ausubeli,ERTm6,N/A,N/A,2493,N/A,53,N/A
Neospora caninum Liverpool 2019,ToxoDB,INSDC,GCA_016097395.1,"May 18, 2021",no,31,0,13,7364,434,258,N/A,7364,3522,2,N/A,no,10,   61.49,FranciaLab,Neospora caninum,Liverpool 2019,N/A,2708,7798,N/A,5982,N/A
Nosema ceranae BRL,MicrosporidiaDB,INSDC,GCA_004919615.1,"Jun 10, 2020",no,0,110,0,2288,6,6,N/A,2288,1380,3,N/A,no,10,    8.82,GenBank,Nosema ceranae,BRL,N/A,N/A,2294,N/A,1596,N/A
